"station_in","station_out","value","shortest_paths"
"三林东","肇嘉浜路",70,8
"三林东","航中路",7,16
"三林东","航头东",6,6
"三林东","航津路",1,22
"三林东","芦恒路",32,4
"三林东","花木路",17,6
"三林东","花桥",13,28
"三林东","芳华路",4,6
"三林东","莘庄",33,14
"三林东","莲花路",31,12
"三林东","虹口足球场",57,15
"三林东","虹桥1号航站楼",15,15
"三林东","虹桥2号航站楼",32,15
"三林东","虹桥火车站",77,16
"三林东","虹桥路",53,9
"三林东","行知路",7,16
"三林东","衡山路",16,8
"三林东","西藏北路",39,14
"三林东","西藏南路",69,7
"三林东","豫园",61,10
"三林东","赤峰路",10,16
"三林东","远东大道",1,14
"三林东","通河新村",6,21
"三林东","邮电新村",5,14
"三林东","醉白池",3,22
"三林东","金桥路",9,14
"三林东","金沙江西路",5,16
"三林东","金沙江路",26,11
"三林东","金海路",4,21
"三林东","金科路",51,7
"三林东","金运路",19,17
"三林东","铁力路",5,27
"三林东","银都路",3,16
"三林东","锦江乐园",11,11
"三林东","锦绣路",5,7
"三林东","镇坪路",21,12
"三林东","长寿路",82,12
"三林东","长江南路",8,20
"三林东","长清路",6,6
"三林东","陆家嘴",27,10
"三林东","陆家浜路",84,8
"三林东","陕西南路",103,10
"三林东","隆德路",50,10
"三林东","隆昌路",7,14
"三林东","静安寺",183,10
"三林东","鞍山新村",12,16
"三林东","顾村公园",12,23
"三林东","颛桥",4,17
"三林东","马当路",28,9
"三林东","马陆",14,20
"三林东","高科西路",4,7
"三林东","高青路",3,6
"三林东","鲁班路",28,8
"三林东","鹤沙航城",22,5
"三林东","黄兴公园",4,20
"三林东","黄兴路",11,18
"三林东","黄陂南路",33,11
"三林东","龙华",104,5
"三林东","龙华中路",11,8
"三林东","龙柏新村",24,14
"三林东","龙溪路",11,13
"三林东","龙漕路",1,10
"三林东","龙耀路",19,3
"三林东","龙阳路",29,5
"三门路","七宝",8,22
"三门路","三林",7,20
"三门路","三林东",6,20
"三门路","三门路",28,0
"三门路","上南路",1,21
"三门路","上海体育场",13,17
"三门路","上海体育馆",16,17
"三门路","上海儿童医学中心",6,15
"三门路","上海动物园",10,21
"三门路","上海南站",27,19
"三门路","上海图书馆",57,14
"三门路","上海大学",3,20
"三门路","上海汽车城",3,25
"三门路","上海游泳馆",7,17
"三门路","上海火车站",53,9
"三门路","上海科技馆",10,13
"三门路","上海西站",8,15
"三门路","上海赛车场",4,23
"三门路","上海野生动物园",3,22
"三门路","上海马戏城",2,12
"三门路","世纪公园",7,14
"三门路","世纪大道",30,12
"三门路","东安路",3,16
"三门路","东川路",5,29
